更新时间: 2026-04-10 15:05:13（北京时间）

更新时间,#genre#
2026-04-10 15:05:13,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://106.116.240.74:9999/rtp/239.254.200.45:8008$河北省电信
CCTV1,http://171.8.84.159:8800/rtp/239.16.20.1:10010$河南电信
CCTV1,http://60.184.112.120:4023/rtp/233.50.201.118:5140$浙江电信
CCTV1,http://223.10.214.111:6000/rtp/239.1.1.7:8007$山西电信
CCTV1,http://182.135.34.97:888/rtp/239.94.0.1:5140$四川电信
CCTV1,http://182.135.34.97:888/rtp/239.94.2.34:5140$四川电信
CCTV1,http://182.135.34.97:888/rtp/239.94.0.31:5140$四川电信
CCTV1,http://182.135.34.97:888/rtp/239.94.2.69:5140$四川电信
CCTV2,http://106.116.240.74:9999/rtp/239.254.200.158:6000$河北省电信
CCTV2,http://171.8.84.159:8800/rtp/239.16.20.2:10020$河南电信
CCTV2,http://60.184.112.120:4023/rtp/233.50.201.119:5140$浙江电信
CCTV2,http://223.10.214.111:6000/rtp/239.1.1.8:8008$山西电信
CCTV2,http://182.135.34.97:888/rtp/239.94.2.70:5140$四川电信
CCTV2,http://182.135.34.97:888/rtp/239.94.0.2:5140$四川电信
CCTV2,http://182.135.34.97:888/rtp/239.94.2.35:5140$四川电信
CCTV3,http://106.116.240.74:9999/rtp/239.254.201.152:7205$河北省电信
CCTV3,http://171.8.84.159:8800/rtp/239.16.20.3:10030$河南电信
CCTV3,http://60.184.112.120:4023/rtp/233.50.201.196:5140$浙江电信
CCTV3,http://223.10.214.111:6000/rtp/239.1.1.9:8009$山西电信
CCTV3,http://182.135.34.97:888/rtp/239.94.0.32:5140$四川电信
CCTV3,http://182.135.34.97:888/rtp/239.94.0.3:5140$四川电信
CCTV4,http://106.116.240.74:9999/rtp/239.254.200.190:6307$河北省电信
CCTV4,http://171.8.84.159:8800/rtp/239.16.20.4:10040$河南电信
CCTV4,http://60.184.112.120:4023/rtp/233.50.200.101:5140$浙江电信
CCTV4,http://223.10.214.111:6000/rtp/239.1.1.10:8010$山西电信
CCTV4,http://182.135.34.97:888/rtp/239.94.0.4:5140$四川电信
CCTV4欧洲,http://106.116.240.74:9999/rtp/239.254.201.205:4220$河北省电信
CCTV4美洲,http://106.116.240.74:9999/rtp/239.254.201.206:4220$河北省电信
CCTV5,http://106.116.240.74:9999/rtp/239.254.201.153:7206$河北省电信
CCTV5,http://171.8.84.159:8800/rtp/239.16.20.53:10530$河南电信
CCTV5,http://60.184.112.120:4023/rtp/233.50.200.108:5140$浙江电信
CCTV5,http://60.184.112.120:4023/rtp/233.50.201.194:5140$浙江电信
CCTV5,http://223.10.214.111:6000/rtp/239.1.1.11:8011$山西电信
CCTV5,http://182.135.34.97:888/rtp/239.94.0.33:5140$四川电信
CCTV5,http://182.135.34.97:888/rtp/239.94.2.30:5140$四川电信
CCTV5,http://182.135.34.97:888/rtp/239.94.0.5:5140$四川电信
CCTV5+,http://106.116.240.74:9999/rtp/239.254.200.46:8004$河北省电信
CCTV5+,http://171.8.84.159:8800/rtp/239.16.20.5:10050$河南电信
CCTV5+,http://60.184.112.120:4023/rtp/233.50.201.220:5140$浙江电信
CCTV5+,http://223.10.214.111:6000/rtp/239.1.1.12:8012$山西电信
CCTV5+,http://182.135.34.97:888/rtp/239.94.0.19:5140$四川电信
CCTV5+,http://182.135.34.97:888/rtp/239.94.0.23:5140$四川电信
CCTV6,http://106.116.240.74:9999/rtp/239.254.201.154:7207$河北省电信
CCTV6,http://171.8.84.159:8800/rtp/239.16.20.6:10060$河南电信
CCTV6,http://60.184.112.120:4023/rtp/233.50.200.109:5140$浙江电信
CCTV6,http://223.10.214.111:6000/rtp/239.1.1.13:8013$山西电信
CCTV6,http://182.135.34.97:888/rtp/239.94.0.6:5140$四川电信
CCTV6,http://182.135.34.97:888/rtp/239.94.2.33:5140$四川电信
CCTV6,http://182.135.34.97:888/rtp/239.94.0.34:5140$四川电信
