======================================================================
IPTV 酒店源流量测试报告 (2026-04-11 01:30:48)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
----------------------------------------------------------------------
1.198.67.160:9901         | CCTV15-音乐            | 0.43   Mbps | 100%
1.198.67.160:9901         | 新疆卫视                 | 0.41   Mbps | 100%
1.198.67.160:9901         | 吉林卫视                 | 0.46   Mbps | 100%
1.205.154.57:9999         | CCTV7-军农             | 4.85   Mbps | 59%
1.205.154.57:9999         | CCTV5+               | 5.13   Mbps | 0%
1.205.154.57:9999         | 黑龙江卫视                | 3.15   Mbps | 0%
1.25.137.51:9901          | 辽宁卫视                 | 3.23   Mbps | 0%
1.25.137.51:9901          | CCTV11-戏曲            | 3.25   Mbps | 0%
1.25.137.51:9901          | 广西卫视                 | 3.34   Mbps | 0%
1.25.138.159:9901         | 吉林卫视                 | 3.24   Mbps | 0%
1.25.138.159:9901         | CCTV1-综合             | 1.73   Mbps | 0%
1.25.138.159:9901         | 辽宁卫视                 | 2.42   Mbps | 0%
1.25.139.36:9901          | CCTV8-电视剧            | 3.33   Mbps | 96%
1.25.139.36:9901          | CCTV5-体育             | 1.03   Mbps | 0%
1.25.139.36:9901          | 广东卫视                 | 3.44   Mbps | 66%
101.18.30.205:808         | 天津卫视高清               | 0.78   Mbps | 100%
101.18.30.205:808         | 中央14高清               | 0.22   Mbps | 100%
101.18.30.205:808         | 中央5+高清               | 0.41   Mbps | 100%
101.66.194.40:9901        | CCTV9-纪录             | 1.69   Mbps | 100%
101.66.194.40:9901        | 黑龙江卫视                | 2.9    Mbps | 30%
101.66.194.40:9901        | 杭州影视                 | 3.34   Mbps | 76%
101.66.194.94:9901        | 浙江新闻                 | 1.02   Mbps | 100%
101.66.194.94:9901        | CCTV15-音乐            | 1.82   Mbps | 0%
101.66.194.94:9901        | CCTV5-体育             | 2.09   Mbps | 100%
101.66.195.151:9901       | 安徽卫视                 | 4.46   Mbps | 100%
101.66.195.151:9901       | 山东卫视                 | 0.62   Mbps | 100%
101.66.195.151:9901       | 北京卫视                 | 0.82   Mbps | 100%
101.66.198.177:9901       | 河南卫视                 | 1.23   Mbps | 100%
101.66.198.177:9901       | CCTV15-音乐            | 0.97   Mbps | 35%
101.66.198.177:9901       | 北京卫视                 | 0.66   Mbps | 100%
101.66.198.246:9901       | CCTV14-少儿            | 3.15   Mbps | 49%
101.66.198.246:9901       | 北京卫视                 | 1.16   Mbps | 100%
101.66.198.246:9901       | CCTV7-军农             | 1.53   Mbps | 100%
101.66.199.126:9901       | 江西卫视                 | 0.18   Mbps | 100%
101.66.199.126:9901       | 贵州卫视                 | 1.4    Mbps | 100%
101.66.199.126:9901       | 东南卫视                 | 1.07   Mbps | 100%
101.66.199.41:9901        | CCTV13-新闻            | 1.6    Mbps | 100%
101.66.199.41:9901        | 江西卫视                 | 3.38   Mbps | 39%
101.66.199.41:9901        | CCTV8-电视剧            | 1.17   Mbps | 100%
106.115.27.135:9901       | CCTV-5               | 2.79   Mbps | 100%
106.115.27.237:9901       | 深圳卫视高清               | 0.07   Mbps | 100%
110.53.218.182:9002       | CCTV13-新闻            | 0.12   Mbps | 100%
110.53.218.182:9002       | CCTV6-电影             | 0.06   Mbps | 100%
111.120.8.205:9901        | CCTV-央视台球            | 0.74   Mbps | 100%
111.120.8.205:9901        | CCTV-世界地理            | 0.52   Mbps | 100%
111.120.8.205:9901        | 云南卫视                 | 1.23   Mbps | 100%
111.221.137.234:44330     | 湖北卫视                 | 0.79   Mbps | 100%
111.221.137.234:44330     | 星空卫视                 | 4.02   Mbps | 0%
111.221.137.234:44330     | Channel [V]          | 3.45   Mbps | 0%
112.123.243.37:50085      | 宁夏卫视                 | 1.84   Mbps | 0%
112.123.243.37:50085      | CCTV-15              | 0.5    Mbps | 100%
112.123.243.37:50085      | 广西卫视                 | 0.68   Mbps | 100%
112.132.10.54:9901        | 吉林卫视                 | 0.61   Mbps | 100%
112.132.10.54:9901        | CCTV6-电影             | 0.54   Mbps | 100%
112.132.10.54:9901        | 临泉三台                 | 0.6    Mbps | 100%
112.27.145.212:9902       | *CCTV-5体育            | 5.01   Mbps | 0%
112.27.145.212:9902       | *CCTV-6电影            | 5.19   Mbps | 8%
112.27.145.212:9902       | *CCTV-3综艺            | 5.79   Mbps | 52%
112.30.73.119:9901        | sCCTV11-戏曲           | 2.05   Mbps | 81%
112.30.73.119:9901        | sCCTV14-少儿           | 1.92   Mbps | 0%
112.30.73.119:9901        | sCCTV12-社会与法         | 1.84   Mbps | 36%
112.99.195.122:65000      | 天津卫视                 | 1.84   Mbps | 100%
112.99.195.122:65000      | 湖北卫视                 | 2.62   Mbps | 0%
112.99.195.122:65000      | 黑龙江少儿                | 1.39   Mbps | 21%
113.141.220.55:9901       | CCTV6-电影             | 0.67   Mbps | 100%
113.141.220.55:9901       | CCTV1-综合             | 0.64   Mbps | 100%
113.141.220.55:9901       | 陕西卫视                 | 0.32   Mbps | 100%
113.15.109.216:59901      | 广西广播电视台影视频道          | 1.4    Mbps | 63%
113.15.109.216:59901      | CCTV-15音乐            | 0.9    Mbps | 0%
113.15.109.216:59901      | CCTV-7国防军事           | 1.63   Mbps | 0%
113.25.252.226:9901       | CCTV4-国际             | 1.24   Mbps | 9%
113.25.252.226:9901       | 辽宁卫视                 | 1.98   Mbps | 100%
113.25.252.226:9901       | CCTV15-音乐            | 0.49   Mbps | 100%
113.26.202.52:1299        | CCTV2-财经             | 0.08   Mbps | 100%
113.26.202.52:1299        | 山东卫视                 | 0.06   Mbps | 100%
113.57.20.185:1111        | CCTV-12社会与法HD        | 0.11   Mbps | 100%
113.57.20.185:1111        | CCTV-3综艺HD           | 0.05   Mbps | 100%
115.150.63.77:9902        | CCTV-5               | 1.05   Mbps | 100%
115.150.63.77:9902        | 吉林卫视高清               | 1.15   Mbps | 100%
115.150.63.77:9902        | 江西卫视高清               | 0.42   Mbps | 100%
115.48.160.136:9901       | CCTV15-音乐            | 1.36   Mbps | 100%
115.48.160.136:9901       | CCTV13-新闻            | 1.65   Mbps | 100%
115.48.160.136:9901       | 北京少儿                 | 0.85   Mbps | 100%
116.21.25.188:9901        | 四川卫视                 | 7.83   Mbps | 0%
116.21.25.188:9901        | 东方卫视                 | 7.77   Mbps | 0%
116.21.25.188:9901        | CCTV-13新闻            | 3.3    Mbps | 0%
116.77.33.98:44330        | CCTV5+体育赛事           | 1.14   Mbps | 100%
116.77.33.98:44330        | 陕西卫视                 | 2.05   Mbps | 100%
116.77.33.98:44330        | CCTV6-电影             | 1.27   Mbps | 100%
118.77.155.221:9901       | CCTV6-电影             | 0.73   Mbps | 100%
118.77.155.221:9901       | 广东卫视                 | 0.48   Mbps | 100%
118.77.155.221:9901       | CCTV10-科教            | 0.3    Mbps | 100%
119.39.9.8:9901           | 湖北卫视                 | 3.38   Mbps | 13%
119.39.9.8:9901           | 山西卫视                 | 8.12   Mbps | 54%
119.39.9.8:9901           | 江西卫视                 | 3.52   Mbps | 0%
120.196.235.42:9901       | 河源公共                 | 1.15   Mbps | 100%
120.196.235.42:9901       | 金鹰纪实高清               | 0.55   Mbps | 100%
120.196.235.42:9901       | CCTV13               | 1.73   Mbps | 44%
120.198.95.220:9901       | 广东体育                 | 2.65   Mbps | 30%
120.198.95.220:9901       | CCTV-14高清            | 3.9    Mbps | 89%
120.198.95.220:9901       | 经济科教高清               | 3.75   Mbps | 79%
120.202.94.181:9446       | 湖北生活                 | 3.7    Mbps | 90%
120.202.94.181:9446       | 北京卫视                 | 3.88   Mbps | 94%
120.202.94.181:9446       | CCTV5-体育             | 0.89   Mbps | 100%
120.27.63.14:30006        | 北京卡酷+                | 0.51   Mbps | 100%
120.27.63.14:30006        | 甘肃卫视                 | 0.15   Mbps | 100%
120.27.63.14:30006        | CCTV2-财经+            | 0.09   Mbps | 100%
120.70.60.179:9901        | 新疆卫视-3               | 5.1    Mbps | 0%
120.70.60.179:9901        | MTKR                 | 4.12   Mbps | 70%
120.70.60.179:9901        | CCTV-2               | 4.03   Mbps | 0%
121.19.134.216:808        | CETV1                | 0.47   Mbps | 100%
121.19.134.216:808        | 广东卫视高清               | 0.37   Mbps | 100%
121.19.134.216:808        | 河北公共高清               | 0.55   Mbps | 100%
123.149.40.175:9901       | CCTV2-财经             | 1.84   Mbps | 100%
123.149.40.175:9901       | 山西卫视                 | 2.0    Mbps | 100%
123.149.40.175:9901       | CCTV4-国际             | 1.08   Mbps | 100%
123.149.43.194:9901       | CCTV13-新闻            | 2.89   Mbps | 0%
123.149.43.194:9901       | 都市频道                 | 2.35   Mbps | 100%
123.149.43.194:9901       | CCTV12-社会与法          | 1.68   Mbps | 100%
124.114.101.136:9901      | CCTV1-综合             | 3.55   Mbps | 82%
124.114.101.136:9901      | CCTV8-电视剧            | 3.39   Mbps | 82%
124.114.101.136:9901      | CCTV15-音乐            | 2.42   Mbps | 0%
124.114.101.184:9901      | 安徽卫视                 | 3.38   Mbps | 89%
124.114.101.184:9901      | CCTV8-电视剧            | 3.41   Mbps | 81%
124.114.101.184:9901      | 山东卫视                 | 3.3    Mbps | 65%
124.114.103.137:9901      | 深圳卫视                 | 2.82   Mbps | 8%
124.114.103.137:9901      | CCTV14-少儿            | 2.66   Mbps | 0%
124.114.103.137:9901      | 浙江卫视                 | 3.13   Mbps | 0%
124.228.160.14:9901       | CCTV1-综合             | 0.35   Mbps | 100%
124.228.160.14:9901       | CCTV4-国际             | 0.22   Mbps | 100%
124.228.160.14:9901       | CCTV8-电视剧            | 0.24   Mbps | 100%
125.42.148.129:9901       | 安徽卫视                 | 0.59   Mbps | 100%
125.42.148.129:9901       | 河南卫视                 | 0.66   Mbps | 100%
125.42.148.129:9901       | CCTV-9高清             | 0.49   Mbps | 100%
125.42.149.111:9901       | CCTV-14              | 0.81   Mbps | 100%
125.42.149.111:9901       | CCTV-15              | 0.96   Mbps | 100%
125.42.149.111:9901       | CCTV2-财经             | 0.86   Mbps | 100%
125.42.150.102:9901       | CCTV8-电视剧            | 0.6    Mbps | 100%
125.42.150.102:9901       | CCTV-9高清             | 0.81   Mbps | 100%
125.42.150.102:9901       | CCTV-7               | 0.68   Mbps | 100%
125.42.150.82:9901        | CCTV4-国际             | 0.6    Mbps | 100%
125.42.150.82:9901        | 广东卫视                 | 0.83   Mbps | 100%
125.42.150.82:9901        | CCTV-14              | 0.91   Mbps | 100%
125.43.247.245:9901       | CCTV3-综艺             | 7.31   Mbps | 50%
125.43.247.245:9901       | CCTV6-电影             | 5.84   Mbps | 6%
125.43.247.245:9901       | 金鹰卡通                 | 4.51   Mbps | 62%
144.123.165.186:9901      | CCTV13-新闻            | 0.66   Mbps | 100%
144.123.165.186:9901      | CCTV14-少儿            | 1.79   Mbps | 100%
144.123.165.186:9901      | 山东少儿高清               | 1.44   Mbps | 100%
144.52.161.141:9901       | 深圳卫视                 | 0.28   Mbps | 100%
144.52.161.141:9901       | CCTV-15音乐            | 0.25   Mbps | 100%
144.52.161.141:9901       | 宁夏卫视                 | 0.43   Mbps | 100%
153.0.171.163:9901        | CCTV 12              | 0.31   Mbps | 100%
153.0.171.163:9901        | CCTV7-军农             | 1.69   Mbps | 0%
153.0.171.163:9901        | 广东卫视                 | 1.1    Mbps | 0%
171.12.166.136:9901       | 黑龙江卫视                | 1.69   Mbps | 100%
171.12.166.136:9901       | 青海卫视                 | 0.28   Mbps | 100%
171.12.166.136:9901       | 都市频道                 | 0.31   Mbps | 100%
171.14.89.119:9901        | 优漫卡通                 | 0.54   Mbps | 100%
171.14.89.119:9901        | 天津卫视                 | 0.75   Mbps | 100%
171.14.89.119:9901        | 河南公共频道               | 0.29   Mbps | 100%
171.43.65.229:9901        | 十堰新闻                 | 4.88   Mbps | 0%
171.43.65.82:9901         | CCTV5-体育             | 4.65   Mbps | 79%
171.43.65.82:9901         | CCTV6-电影             | 1.82   Mbps | 100%
171.8.84.196:9901         | 河南卫视                 | 0.11   Mbps | 100%
171.8.84.196:9901         | CCTV10-科教            | 0.06   Mbps | 100%
171.8.84.196:9901         | CCTV9-纪录             | 0.05   Mbps | 100%
175.10.19.5:9999          | 甘肃卫视                 | 1.4    Mbps | 0%
175.10.19.5:9999          | CCTV14-少儿HD          | 3.34   Mbps | 75%
175.10.19.5:9999          | CCTV15-音乐            | 3.1    Mbps | 31%
182.123.210.93:9901       | CCTV15-音乐            | 7.61   Mbps | 0%
182.123.210.93:9901       | 河北卫视                 | 7.65   Mbps | 0%
182.123.210.93:9901       | CCTV6-电影             | 7.54   Mbps | 0%
182.207.218.24:999        | 内蒙古卫视                | 1.59   Mbps | 0%
182.207.218.24:999        | 辽宁卫视                 | 5.2    Mbps | 12%
182.207.218.24:999        | 四川卫视                 | 5.45   Mbps | 0%
182.91.124.224:8801       | 四川卫视                 | 0.91   Mbps | 73%
182.91.124.224:8801       | CCTV-14少儿            | 0.21   Mbps | 100%
182.91.124.224:8801       | 天津卫视                 | 0.34   Mbps | 100%
182.91.124.60:8801        | 北京卫视                 | 6.64   Mbps | 0%
182.91.124.60:8801        | CCTV-2财经             | 3.02   Mbps | 0%
182.91.124.60:8801        | 深圳卫视                 | 3.04   Mbps | 0%
182.91.124.61:8801        | CCTV-13新闻            | 3.01   Mbps | 0%
182.91.124.61:8801        | CCTV-14少儿            | 3.07   Mbps | 0%
182.91.124.61:8801        | 河南卫视                 | 2.96   Mbps | 0%
183.186.172.30:9888       | 风云足球                 | 2.47   Mbps | 13%
183.186.172.30:9888       | CCTV12-社会与法          | 4.14   Mbps | 65%
183.186.172.30:9888       | 山西影视                 | 3.07   Mbps | 24%
183.186.68.174:9999       | CCTV8-电视剧            | 7.13   Mbps | 0%
183.186.68.174:9999       | 四川卫视                 | 7.17   Mbps | 0%
183.186.68.174:9999       | 湖北卫视                 | 7.02   Mbps | 0%
183.186.68.206:9999       | CCTV6-电影             | 7.14   Mbps | 0%
183.186.68.206:9999       | CCTV13-新闻            | 3.51   Mbps | 0%
183.186.68.206:9999       | CCTV14-少儿            | 7.16   Mbps | 0%
183.190.163.221:888       | CCTV5-体育             | 5.04   Mbps | 66%
183.190.163.221:888       | 黑龙江卫视                | 1.51   Mbps | 100%
183.190.163.221:888       | 新疆卫视                 | 1.4    Mbps | 100%
183.223.157.33:9901       | CCTV6-电影             | 2.5    Mbps | 0%
183.223.157.33:9901       | 四川科教                 | 2.37   Mbps | 100%
183.223.157.33:9901       | CCTV13-新闻            | 2.39   Mbps | 100%
183.239.226.235:9901      | 深圳卫视                 | 0.07   Mbps | 100%
218.1.208.13:7777         | CCTV7                | 0.13   Mbps | 100%
218.1.208.13:7777         | 辽宁卫视                 | 0.12   Mbps | 100%
218.1.208.13:7777         | CCTV5                | 0.12   Mbps | 100%
218.104.239.114:9901      | CCTV5-体育             | 1.73   Mbps | 100%
218.104.239.114:9901      | 江西卫视                 | 1.81   Mbps | 100%
218.104.239.114:9901      | 福建新闻高清               | 1.67   Mbps | 100%
218.13.170.98:9901        | 广东体育                 | 0.35   Mbps | 100%
218.13.170.98:9901        | 新疆卫视                 | 0.34   Mbps | 100%
218.13.170.98:9901        | 贵州卫视                 | 0.53   Mbps | 100%
218.77.62.245:10999       | CCTV3-综艺             | 0.24   Mbps | 100%
218.77.62.245:10999       | 黑龙江卫视                | 0.45   Mbps | 100%
218.77.62.245:10999       | 东方卫视                 | 0.46   Mbps | 100%
219.137.203.66:9901       | 广东少儿                 | 2.96   Mbps | 30%
219.137.203.66:9901       | CCTV5-体育             | 1.09   Mbps | 34%
219.137.203.66:9901       | CCTV11-戏曲            | 0.93   Mbps | 84%
219.137.203.90:9901       | CCTV3-综艺             | 1.89   Mbps | 0%
219.137.203.90:9901       | CCTV14-少儿            | 1.8    Mbps | 53%
219.137.203.90:9901       | CCTV2-财经             | 1.68   Mbps | 92%
219.140.4.193:7777        | CCTV-13              | 1.12   Mbps | 100%
219.140.4.193:7777        | CCTV-17              | 1.25   Mbps | 100%
219.140.4.193:7777        | CCTV-11              | 1.14   Mbps | 100%
219.140.6.129:7777        | 江西卫视                 | 2.06   Mbps | 100%
219.140.6.129:7777        | 东南卫视                 | 0.53   Mbps | 100%
219.140.6.129:7777        | CCTV-17              | 0.99   Mbps | 100%
219.144.157.62:9901       | CCTV15               | 0.02   Mbps | 100%
219.144.157.62:9901       | 山东卫视                 | 0.02   Mbps | 100%
219.145.93.74:10000       | 重庆卫视                 | 0.03   Mbps | 100%
219.145.93.74:10000       | CCTV8-电视剧            | 0.04   Mbps | 100%
219.146.95.58:59902       | 山东新闻                 | 0.12   Mbps | 100%
219.146.95.58:59902       | 山西卫视                 | 0.16   Mbps | 100%
219.146.95.58:59902       | 陕西卫视                 | 0.16   Mbps | 100%
219.159.91.10:8801        | CCTV8-电视剧            | 0.84   Mbps | 100%
219.159.91.10:8801        | 东方卫视                 | 0.55   Mbps | 100%
219.159.91.10:8801        | CCTV7-军农             | 0.85   Mbps | 100%
220.187.217.83:9901       | 安徽卫视                 | 4.56   Mbps | 74%
220.187.217.83:9901       | 贵州卫视                 | 1.54   Mbps | 0%
